Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
29-Jan-2026,24-Feb-2026,XX,"-","935.00","943.20","929.50","940.70","940.85","940.70",27251950,"25,55,21,40,487.50","25,55,21,40,487.50",231306900,-2049850
28-Jan-2026,24-Feb-2026,XX,"-","936.00","944.50","931.75","936.20","936.30","936.20",28384400,"26,64,11,21,210.00","26,64,11,21,210.00",233356750,-3167450
27-Jan-2026,24-Feb-2026,XX,"-","921.65","937.85","911.50","932.80","934.00","932.80",59525400,"54,94,39,01,320.00","54,94,39,01,320.00",236524200,32781100
23-Jan-2026,24-Feb-2026,XX,"-","927.90","931.80","915.30","921.65","920.45","921.65",77893750,"71,88,71,39,362.50","71,88,71,39,362.50",203743100,66688050
22-Jan-2026,24-Feb-2026,XX,"-","935.70","935.70","920.20","926.35","928.05","926.35",63987550,"59,23,36,94,025.00","59,23,36,94,025.00",137055050,52941350
21-Jan-2026,24-Feb-2026,XX,"-","935.00","938.90","921.85","927.40","928.40","927.40",58163050,"54,16,26,50,987.50","54,16,26,50,987.50",84113700,49390550
20-Jan-2026,24-Feb-2026,XX,"-","934.70","940.15","925.75","936.70","936.60","936.70",11879450,"11,11,63,63,637.50","11,11,63,63,637.50",34723150,7506950
19-Jan-2026,24-Feb-2026,XX,"-","939.65","941.80","925.65","933.55","931.25","933.55",8122950,"7,57,50,44,317.50","7,57,50,44,317.50",27216200,4702500
16-Jan-2026,24-Feb-2026,XX,"-","934.05","944.50","928.40","939.55","938.25","939.55",6001600,"5,63,44,16,287.50","5,63,44,16,287.50",22513700,3632750
14-Jan-2026,24-Feb-2026,XX,"-","942.20","948.85","929.00","934.05","933.95","934.05",5460400,"5,11,78,13,470.00","5,11,78,13,470.00",18880950,4275700
13-Jan-2026,24-Feb-2026,XX,"-","955.95","960.00","942.70","945.00","944.40","945.00",2186250,"2,07,12,94,087.50","2,07,12,94,087.50",14605250,1110450
